2022-05-18 15:54:11,295 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 15:54:29,304 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 15:57:38,197 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 15:57:38,203 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-05-18 15:57:38,249 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 15:57:46,410 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
2022-05-18 15:57:46,416 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-05-18 15:57:46,416 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-05-18 15:57:46,417 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-05-18 15:57:46,417 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-05-18 15:57:46,417 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-05-18 15:57:46,417 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 15:58:26,841 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 15:58:36,720 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 16:02:10,175 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:02:10,176 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-05-18 16:02:10,223 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:02:17,949 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
2022-05-18 16:02:17,956 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-05-18 16:02:17,957 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2022-05-18 16:02:17,957 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2022-05-18 16:02:17,957 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2022-05-18 16:02:17,957 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2022-05-18 16:02:17,957 | MainThread   | [DEBUG   ] | run                 |: ------------------

2022-05-18 16:02:36,390 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 16:05:00,834 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2022-05-18 16:09:40,045 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:09:40,051 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2022-05-18 16:09:40,113 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2022-05-18 16:09:47,209 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.10.4 (v3.10.4:9d38120e33, Mar 23 2022, 17:29:05) [Clang 13.0.0 (clang-1300.0.29.30)]
2022-05-18 16:09:47,215 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2022-05-18 16:09:47,216 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
